InputID,MEAN,STDDEV,MIN,MAX
Z1822,121.57374,45.37584,19.96337,201.03306
Z1823,107.23256,36.01691,30.11735,173.87723
Z1824,99.44873,32.96200,26.81134,160.11969
Z1826,84.83800,34.30102,22.88401,152.19188
Z1827,75.69158,29.48565,16.20995,128.88124
Z1828,80.94524,35.11938,5.49368,152.21686
Z1829,84.89059,35.23762,8.33905,152.32639
Z1830,81.45048,31.03855,22.23492,139.75004
Z1831,97.78561,37.84170,13.63990,165.32749
Z1832,98.21280,36.38862,13.63990,167.12563
Z1833,76.35280,32.36610,13.38190,139.00074
Z1834,77.38290,32.91993,16.48590,131.90459
Z1835,89.25641,37.05288,22.99129,153.30148
Z1836,82.42727,35.30611,5.49368,152.46193
Z1837,157.91743,73.79565,16.25606,298.64828
Z1838,156.80953,49.03692,64.06520,250.63354
Z1839,177.40941,57.79660,38.90380,308.25437
Z1840,190.96864,71.55243,49.20347,314.03432
Z1841,144.76616,65.59491,45.05262,280.24720
Z1842,163.71511,58.55503,25.07395,274.04825
Z1843,130.46018,51.94926,22.01913,230.98864
Z1844,125.00550,50.09781,21.44992,237.68593
Z1845,133.29213,53.35173,28.13750,244.38531
Z1846,127.89804,53.72935,28.11468,259.03372
Z1847,132.11460,51.65677,10.43395,225.46567
Z1848,218.73970,105.47118,18.18941,397.27620
Z1849,152.28214,45.41957,43.48512,225.94301
Z1850,197.45346,93.05532,14.09348,377.77081
Z1851,201.67861,88.22774,14.09414,375.50962
Z1852,204.37087,91.19316,14.09414,388.82327
Z1853,217.18466,88.26634,14.10039,377.43344
